question,difficulty,topics,link,frequency,acceptance
Employee Bonus,EASY,Database,https://leetcode.com/problems/employee-bonus,100.0,0.7707336952655446
Average Salary Excluding the Minimum and Maximum Salary,EASY,"Array, Sorting",https://leetcode.com/problems/average-salary-excluding-the-minimum-and-maximum-salary,100.0,0.6343821503413254
