question,difficulty,topics,link,frequency,acceptance
Delete Node in a Linked List,MEDIUM,Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list,51.8,0.8231559199073729
Find First and Last Position of Element in Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,51.8,0.4682874104872264
Generate Parentheses,MEDIUM,"String, Dynamic Programming, Backtracking",https://leetcode.com/problems/generate-parentheses,51.8,0.7713286717803378
Maximal Square,MEDIUM,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/maximal-square,51.8,0.4876133314788993
Jump Game II,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game-ii,51.8,0.4150330248226039
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,48.4,0.7790164518819447
Isomorphic Strings,EASY,"Hash Table, String",https://leetcode.com/problems/isomorphic-strings,48.4,0.4685795790862557
Remove Duplicates from Sorted Array,EASY,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array,48.4,0.6035551112882038
Combination Sum II,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum-ii,48.4,0.5767453180420465
Minimum Size Subarray Sum,MEDIUM,"Array, Binary Search, Sliding Window, Prefix Sum",https://leetcode.com/problems/minimum-size-subarray-sum,48.4,0.4939104873416409
Majority Element,EASY,"Array, Hash Table, Divide and Conquer, Sorting, Counting",https://leetcode.com/problems/majority-element,48.4,0.6574028018936169
Letter Combinations of a Phone Number,MEDIUM,"Hash Table, String, Backtracking",https://leetcode.com/problems/letter-combinations-of-a-phone-number,48.4,0.6385756647080152
Kth Smallest Element in a BST,MEDIUM,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/kth-smallest-element-in-a-bst,48.4,0.7532957775488365
Integer to Roman,MEDIUM,"Hash Table, Math, String",https://leetcode.com/problems/integer-to-roman,48.4,0.6861928580376627
Permutations,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/permutations,44.5,0.8066011364163758
Copy List with Random Pointer,MEDIUM,"Hash Table, Linked List",https://leetcode.com/problems/copy-list-with-random-pointer,44.5,0.6053669280147949
Word Break II,HARD,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization",https://leetcode.com/problems/word-break-ii,44.5,0.5364536357075469
Decode Ways,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/decode-ways,44.5,0.3653098286175434
Longest Valid Parentheses,HARD,"String, Dynamic Programming, Stack",https://leetcode.com/problems/longest-valid-parentheses,44.5,0.3631311456770452
Rotate Array,MEDIUM,"Array, Math, Two Pointers",https://leetcode.com/problems/rotate-array,44.5,0.4302138825960785
Largest Number,MEDIUM,"Array, String, Greedy, Sorting",https://leetcode.com/problems/largest-number,44.5,0.412803811932624
Regular Expression Matching,HARD,"String, Dynamic Programming, Recursion",https://leetcode.com/problems/regular-expression-matching,39.7,0.2928012366939696
Invert Binary Tree,EASY,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/invert-binary-tree,39.7,0.7902166260843579
Palindrome Number,EASY,Math,https://leetcode.com/problems/palindrome-number,39.7,0.5922453979629636
Find Peak Element,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/find-peak-element,39.7,0.4650921486454041
Insert Interval,MEDIUM,Array,https://leetcode.com/problems/insert-interval,39.7,0.4347362871417847
Max Points on a Line,HARD,"Array, Hash Table, Math, Geometry",https://leetcode.com/problems/max-points-on-a-line,39.7,0.2895514653845652
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,39.7,0.5291951986224571
Sudoku Solver,HARD,"Array, Hash Table, Backtracking, Matrix",https://leetcode.com/problems/sudoku-solver,39.7,0.6390866531877745
Unique Paths,MEDIUM,"Math, Dynamic Programming, Combinatorics",https://leetcode.com/problems/unique-paths,39.7,0.6577286392782602
Populating Next Right Pointers in Each Node,MEDIUM,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/populating-next-right-pointers-in-each-node,39.7,0.6544149639689759
Rotate List,MEDIUM,"Linked List, Two Pointers",https://leetcode.com/problems/rotate-list,39.7,0.3994476663735721
Basic Calculator,HARD,"Math, String, Stack, Recursion",https://leetcode.com/problems/basic-calculator,33.6,0.4558962794405194
Text Justification,HARD,"Array, String, Simulation",https://leetcode.com/problems/text-justification,33.6,0.4814993566410409
Minimum Window Substring,HARD,"Hash Table, String, Sliding Window",https://leetcode.com/problems/minimum-window-substring,33.6,0.4535074763823223
Number of Unique Good Subsequences,HARD,"String, Dynamic Programming",https://leetcode.com/problems/number-of-unique-good-subsequences,33.6,0.521975548089911
Remove Duplicates from Sorted List,EASY,Linked List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,33.6,0.5487080353115535
Palindrome Linked List,EASY,"Linked List, Two Pointers, Stack, Recursion",https://leetcode.com/problems/palindrome-linked-list,33.6,0.558594473044224
Implement Queue using Stacks,EASY,"Stack, Design, Queue",https://leetcode.com/problems/implement-queue-using-stacks,33.6,0.6806072941218969
Implement Stack using Queues,EASY,"Stack, Design, Queue",https://leetcode.com/problems/implement-stack-using-queues,33.6,0.6733897915056893
Two Sum II - Input Array Is Sorted,MEDIUM,"Array, Two Pointers, Binary Search",https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,33.6,0.6340214733837152
Excel Sheet Column Title,EASY,"Math, String",https://leetcode.com/problems/excel-sheet-column-title,33.6,0.4357032576703931
Path Sum II,MEDIUM,"Backtracking, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/path-sum-ii,33.6,0.6049772910946117
Sort List,MEDIUM,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort",https://leetcode.com/problems/sort-list,33.6,0.618074922962942
Find Subsequence of Length K With the Largest Sum,EASY,"Array, Hash Table, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,33.6,0.4550501177444639
Count Number of Pairs With Absolute Difference K,EASY,"Array, Hash Table, Counting",https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,33.6,0.8488583382642377
Pascal's Triangle,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/pascals-triangle,25.3,0.770215491719448
Maximum Product Subarray,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/maximum-product-subarray,25.3,0.3494162954383182
Valid Sudoku,MEDIUM,"Array, Hash Table, Matrix",https://leetcode.com/problems/valid-sudoku,25.3,0.6227675793740958
Lowest Common Ancestor of a Binary Search Tree,MEDIUM,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,25.3,0.6831069193376744
Maximal Rectangle,HARD,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",https://leetcode.com/problems/maximal-rectangle,25.3,0.5370845822665518
Delete Duplicate Emails,EASY,Database,https://leetcode.com/problems/delete-duplicate-emails,25.3,0.643253844330318
Intersection of Two Linked Lists,EASY,"Hash Table, Linked List, Two Pointers",https://leetcode.com/problems/intersection-of-two-linked-lists,25.3,0.6112533936845744
Climbing Stairs,EASY,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs,25.3,0.5354071840932856
