question,difficulty,topics,link,frequency,acceptance
Jump Game VI,MEDIUM,"Array, Dynamic Programming, Queue, Heap (Priority Queue), Monotonic Queue",https://leetcode.com/problems/jump-game-vi,100.0,0.4599694033656298
Missing Number,EASY,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",https://leetcode.com/problems/missing-number,63.1,0.7006536003915764
Best Time to Buy and Sell Stock,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,63.1,0.5525969088759799
