question,difficulty,topics,link,frequency,acceptance
Missing Number In Arithmetic Progression,EASY,"Array, Math",https://leetcode.com/problems/missing-number-in-arithmetic-progression,100.0,0.5211133764124538
Minimum Absolute Difference,EASY,"Array, Sorting",https://leetcode.com/problems/minimum-absolute-difference,100.0,0.706524625366552
Leetflex Banned Accounts,MEDIUM,Database,https://leetcode.com/problems/leetflex-banned-accounts,100.0,0.6223738673229667
