question,difficulty,topics,link,frequency,acceptance
Non-overlapping Intervals,MEDIUM,"Array, Dynamic Programming, Greedy, Sorting",https://leetcode.com/problems/non-overlapping-intervals,44.8,0.5550284035532288
Fibonacci Number,EASY,"Math, Dynamic Programming, Recursion, Memoization",https://leetcode.com/problems/fibonacci-number,44.8,0.7294492271152765
Minimum Cost to Connect Sticks,MEDIUM,"Array, Greedy, Heap (Priority Queue)",https://leetcode.com/problems/minimum-cost-to-connect-sticks,44.8,0.7116745797510586
Pascal's Triangle,EASY,"Array, Dynamic Programming",https://leetcode.com/problems/pascals-triangle,44.8,0.7702153802428936
Minimum Cost to Make Array Equal,HARD,"Array, Binary Search, Greedy, Sorting, Prefix Sum",https://leetcode.com/problems/minimum-cost-to-make-array-equal,44.8,0.4632379781368273
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,44.8,0.4521461104192241
Daily Temperatures,MEDIUM,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/daily-temperatures,44.8,0.673649951600241
Binary Tree Right Side View,MEDIUM,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-right-side-view,44.8,0.6704257665394876
Reverse Linked List,EASY,"Linked List, Recursion",https://leetcode.com/problems/reverse-linked-list,44.8,0.7920656598058967
Two Sum II - Input Array Is Sorted,MEDIUM,"Array, Two Pointers, Binary Search",https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,36.3,0.6340213490445626
Set Matrix Zeroes,MEDIUM,"Array, Hash Table, Matrix",https://leetcode.com/problems/set-matrix-zeroes,36.3,0.6070888278303417
Find Occurrences of an Element in an Array,MEDIUM,"Array, Hash Table",https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array,36.3,0.725564552476571
Letter Combinations of a Phone Number,MEDIUM,"Hash Table, String, Backtracking",https://leetcode.com/problems/letter-combinations-of-a-phone-number,36.3,0.6385754372876457
Palindrome Number,EASY,Math,https://leetcode.com/problems/palindrome-number,36.3,0.5922454050733309
Kth Largest Element in an Array,MEDIUM,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",https://leetcode.com/problems/kth-largest-element-in-an-array,36.3,0.6797700657994141
Top K Frequent Elements,MEDIUM,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",https://leetcode.com/problems/top-k-frequent-elements,36.3,0.6456596310666731
Average Time of Process per Machine,EASY,Database,https://leetcode.com/problems/average-time-of-process-per-machine,36.3,0.6862945277695189
Container With Most Water,MEDIUM,"Array, Two Pointers, Greedy",https://leetcode.com/problems/container-with-most-water,36.3,0.577828412852038
Permutations,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/permutations,36.3,0.8066013741849325
Shuffle an Array,MEDIUM,"Array, Math, Design, Randomized",https://leetcode.com/problems/shuffle-an-array,36.3,0.5904289804092742
Count Binary Substrings,EASY,"Two Pointers, String",https://leetcode.com/problems/count-binary-substrings,36.3,0.659166376012681
Count Strictly Increasing Subarrays,MEDIUM,"Array, Math, Dynamic Programming",https://leetcode.com/problems/count-strictly-increasing-subarrays,36.3,0.7126069380464418
Open the Lock,MEDIUM,"Array, Hash Table, String, Breadth-First Search",https://leetcode.com/problems/open-the-lock,36.3,0.6074106348295799
Minimum String Length After Removing Substrings,EASY,"String, Stack, Simulation",https://leetcode.com/problems/minimum-string-length-after-removing-substrings,36.3,0.7708193935176512
Cherry Pickup,HARD,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/cherry-pickup,36.3,0.3786948581341589
Degree of an Array,EASY,"Array, Hash Table",https://leetcode.com/problems/degree-of-an-array,36.3,0.5742057825337067
Minimum Insertions to Balance a Parentheses String,MEDIUM,"String, Stack, Greedy",https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string,36.3,0.5317558366441577
Search Suggestions System,MEDIUM,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/search-suggestions-system,36.3,0.6505032264917545
Find the Duplicate Number,MEDIUM,"Array, Two Pointers, Binary Search, Bit Manipulation",https://leetcode.com/problems/find-the-duplicate-number,36.3,0.6283573746964617
Ugly Number,EASY,Math,https://leetcode.com/problems/ugly-number,36.3,0.4233632213371748
Contains Duplicate,EASY,"Array, Hash Table, Sorting",https://leetcode.com/problems/contains-duplicate,36.3,0.6323636134487758
Sum of Subarray Ranges,MEDIUM,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/sum-of-subarray-ranges,36.3,0.6013128650832208
Decode Ways,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/decode-ways,36.3,0.3653096464119481
Combination Sum,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum,36.3,0.7467467958581016
Integer to Roman,MEDIUM,"Hash Table, Math, String",https://leetcode.com/problems/integer-to-roman,36.3,0.6861927118001762
Spiral Matrix,MEDIUM,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix,36.3,0.5393974560587809
