question,difficulty,topics,link,frequency,acceptance
First Missing Positive,HARD,"Array, Hash Table",https://leetcode.com/problems/first-missing-positive,58.7,0.4108465766394882
Candy,HARD,"Array, Greedy",https://leetcode.com/problems/candy,51.6,0.4669985426363719
Merge Intervals,MEDIUM,"Array, Sorting",https://leetcode.com/problems/merge-intervals,51.6,0.4939523131783485
Open the Lock,MEDIUM,"Array, Hash Table, String, Breadth-First Search",https://leetcode.com/problems/open-the-lock,51.6,0.6074112952607815
Cherry Pickup,HARD,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/cherry-pickup,51.6,0.3786948581341589
Maximum Performance of a Team,HARD,"Array, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/maximum-performance-of-a-team,51.6,0.4751514702683188
Number of Students Unable to Eat Lunch,EASY,"Array, Stack, Queue, Simulation",https://leetcode.com/problems/number-of-students-unable-to-eat-lunch,51.6,0.7873290271095185
Next Greater Element I,EASY,"Array, Hash Table, Stack, Monotonic Stack",https://leetcode.com/problems/next-greater-element-i,51.6,0.7451247376157817
House Robber,MEDIUM,"Array, Dynamic Programming",https://leetcode.com/problems/house-robber,51.6,0.5230498170963667
Rank Teams by Votes,MEDIUM,"Array, Hash Table, String, Sorting, Counting",https://leetcode.com/problems/rank-teams-by-votes,51.6,0.5940446839336095
Cut Off Trees for Golf Event,HARD,"Array, Breadth-First Search, Heap (Priority Queue), Matrix",https://leetcode.com/problems/cut-off-trees-for-golf-event,51.6,0.3533426885924877
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,51.6,0.4283722986730389
Reconstruct Itinerary,HARD,"Depth-First Search, Graph, Eulerian Circuit",https://leetcode.com/problems/reconstruct-itinerary,51.6,0.4360564496598489
Jump Game,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game,51.6,0.3947922810402424
Remove Duplicates from Sorted Array,EASY,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array,51.6,0.6035557762386264
