question,difficulty,topics,link,frequency,acceptance
Word Search II,HARD,"Array, String, Backtracking, Trie, Matrix",https://leetcode.com/problems/word-search-ii,45.6,0.3732633211647155
Longest Common Subsequence,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/longest-common-subsequence,42.9,0.582494259379739
Swim in Rising Water,HARD,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix",https://leetcode.com/problems/swim-in-rising-water,42.9,0.6285262869935629
Minimum Size Subarray Sum,MEDIUM,"Array, Binary Search, Sliding Window, Prefix Sum",https://leetcode.com/problems/minimum-size-subarray-sum,42.9,0.4939103221302616
Number of Visible People in a Queue,HARD,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/number-of-visible-people-in-a-queue,42.9,0.7129656877170266
Design Add and Search Words Data Structure,MEDIUM,"String, Depth-First Search, Design, Trie",https://leetcode.com/problems/design-add-and-search-words-data-structure,39.7,0.4706656098549707
Sudoku Solver,HARD,"Array, Hash Table, Backtracking, Matrix",https://leetcode.com/problems/sudoku-solver,39.7,0.6390861285730938
Jump Game II,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game-ii,39.7,0.415032966531176
Ways to Make a Fair Array,MEDIUM,"Array, Prefix Sum",https://leetcode.com/problems/ways-to-make-a-fair-array,35.8,0.644989189340971
Minimize Malware Spread,HARD,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/minimize-malware-spread,35.8,0.4244718413272332
Binary Tree Vertical Order Traversal,MEDIUM,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree",https://leetcode.com/problems/binary-tree-vertical-order-traversal,35.8,0.571412329907316
Maximum Gap,MEDIUM,"Array, Sorting, Bucket Sort, Radix Sort",https://leetcode.com/problems/maximum-gap,35.8,0.4935672348350227
LRU Cache,MEDIUM,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache,35.8,0.4521458782274209
Number of Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands,35.8,0.6231993887316181
Sliding Window Median,HARD,"Array, Hash Table, Sliding Window, Heap (Priority Queue)",https://leetcode.com/problems/sliding-window-median,35.8,0.3869197901499727
Sliding Window Maximum,HARD,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",https://leetcode.com/problems/sliding-window-maximum,35.8,0.4760417141782024
Shortest Path to Get Food,MEDIUM,"Array, Breadth-First Search, Matrix",https://leetcode.com/problems/shortest-path-to-get-food,35.8,0.5669343417278341
4Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/4sum,30.9,0.3821902701872646
Course Schedule,MEDIUM,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule,30.9,0.4923434771019614
Analyze User Website Visit Pattern,MEDIUM,"Array, Hash Table, Sorting",https://leetcode.com/problems/analyze-user-website-visit-pattern,30.9,0.4372699971913551
LFU Cache,HARD,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lfu-cache,30.9,0.4660898637811462
Capacity To Ship Packages Within D Days,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,30.9,0.721177358490566
Maximum Path Quality of a Graph,HARD,"Array, Backtracking, Graph",https://leetcode.com/problems/maximum-path-quality-of-a-graph,30.9,0.596989256918232
Find the Celebrity,MEDIUM,"Two Pointers, Graph, Interactive",https://leetcode.com/problems/find-the-celebrity,30.9,0.4843840356335517
Number of Provinces,MEDIUM,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/number-of-provinces,30.9,0.686550180360498
Path Sum II,MEDIUM,"Backtracking, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/path-sum-ii,24.1,0.6049772763926738
Maximum Performance of a Team,HARD,"Array, Greedy, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/maximum-performance-of-a-team,24.1,0.4751514702683188
Design Search Autocomplete System,HARD,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream",https://leetcode.com/problems/design-search-autocomplete-system,24.1,0.4940635941634056
Longest Palindromic Substring,MEDIUM,"Two Pointers, String, Dynamic Programming",https://leetcode.com/problems/longest-palindromic-substring,24.1,0.3584610347381002
Similar String Groups,HARD,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find",https://leetcode.com/problems/similar-string-groups,24.1,0.5538086793196406
Merge k Sorted Lists,HARD,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",https://leetcode.com/problems/merge-k-sorted-lists,24.1,0.5677420052593406
Insert Delete GetRandom O(1),MEDIUM,"Array, Hash Table, Math, Design, Randomized",https://leetcode.com/problems/insert-delete-getrandom-o1,24.1,0.54991878709743
Range Sum Query 2D - Immutable,MEDIUM,"Array, Design, Matrix, Prefix Sum",https://leetcode.com/problems/range-sum-query-2d-immutable,24.1,0.5652765632997782
Diameter of N-Ary Tree,MEDIUM,"Tree, Depth-First Search",https://leetcode.com/problems/diameter-of-n-ary-tree,24.1,0.7519435365202558
Employee Free Time,HARD,"Array, Line Sweep, Sorting, Heap (Priority Queue)",https://leetcode.com/problems/employee-free-time,24.1,0.7259759595862569
Counting Words With a Given Prefix,EASY,"Array, String, String Matching",https://leetcode.com/problems/counting-words-with-a-given-prefix,24.1,0.8452511492869518
Brace Expansion,MEDIUM,"String, Backtracking, Breadth-First Search",https://leetcode.com/problems/brace-expansion,24.1,0.6672212978369384
Design Browser History,MEDIUM,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream",https://leetcode.com/problems/design-browser-history,24.1,0.7774686768883133
Path With Maximum Minimum Value,MEDIUM,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix",https://leetcode.com/problems/path-with-maximum-minimum-value,24.1,0.5412731529408017
Number of Closed Islands,MEDIUM,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-closed-islands,24.1,0.6670954007184992
Valid Sudoku,MEDIUM,"Array, Hash Table, Matrix",https://leetcode.com/problems/valid-sudoku,24.1,0.6227676961475801
Top K Frequent Elements,MEDIUM,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",https://leetcode.com/problems/top-k-frequent-elements,24.1,0.6456596310666731
Task Scheduler II,MEDIUM,"Array, Hash Table, Simulation",https://leetcode.com/problems/task-scheduler-ii,24.1,0.5397256916203358
Group Anagrams,MEDIUM,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams,24.1,0.7092882545499255
Implement Trie II (Prefix Tree),MEDIUM,"Hash Table, String, Design, Trie",https://leetcode.com/problems/implement-trie-ii-prefix-tree,24.1,0.6308755998142511
K-Similar Strings,HARD,"String, Breadth-First Search",https://leetcode.com/problems/k-similar-strings,24.1,0.400472407129053
